ts,day,flags,ret,sigma,prev_close,open,high,low,close,volume,vwap,bar_count,is_filled
2017-11-22 09:36,2017-11-22,sigma_return,-0.00134948,0.000157343,155.72,155.71,155.71,155.5,155.51,83201,155.596,325,False
2017-12-01 11:13,2017-12-01,sigma_return,-0.00376918,0.000423709,154.17,154.17,154.17,153.55,153.59,733695,153.897,2999,False
2017-12-29 15:50,2017-12-29,sigma_return,-0.00192332,0.000167144,156.13,156.13,156.13,155.82,155.83,524008,155.952,2112,False
2018-02-05 15:09,2018-02-05,sigma_return,-0.00607981,0.000747944,160.03,160.03,160.03,158.99,159.06,1.28207e+06,159.358,5942,False
2018-02-05 15:12,2018-02-05,abs_return;sigma_return;bar_range,0.0100371,0.000845924,158.61,158.6,160.23,158.53,160.21,796563,159.471,2919,False
2018-07-16 09:45,2018-07-16,sigma_return,-0.00189267,0.000233803,179.81,179.81,179.81,179.47,179.47,271066,179.607,1077,False
2018-09-04 09:35,2018-09-04,sigma_return,-0.00220685,0.000275355,185.99,185.98,185.99,185.53,185.58,235179,185.763,990,False
2018-09-12 09:35,2018-09-12,sigma_return,-0.00317669,0.000313621,182.87,182.85,182.85,182.27,182.29,250535,182.515,1095,False
2018-09-14 12:07,2018-09-14,sigma_return,0.0030969,0.000306386,183.77,183.77,184.34,183.71,184.34,390922,183.793,1977,False
2018-09-20 09:34,2018-09-20,sigma_return,-0.00288349,0.000350153,184.07,184.05,184.05,183.52,183.54,310896,183.728,1646,False
2018-12-19 14:00,2018-12-19,abs_return;sigma_return;bar_range,-0.012167,0.000693825,160.42,160.34,160.72,158.45,158.48,660281,159.57,2734,False
2018-12-31 15:59,2018-12-31,sigma_return,0.0066346,0.000680721,153.23,153.23,154.26,153.22,154.25,1.11694e+06,153.734,5477,False
2019-01-22 15:39,2019-01-22,sigma_return,0.00458148,0.000453908,161.15,161.15,161.89,161.14,161.89,495088,161.519,2309,False
2019-01-30 14:00,2019-01-30,sigma_return,0.00322414,0.000322654,164.12,164.12,164.96,163.97,164.65,769799,164.506,3111,False
2019-02-14 10:37,2019-02-14,sigma_return,-0.00404041,0.00034365,171.12,171.11,171.15,170.35,170.43,798436,170.645,3355,False
